year,case,,,,,
,,,6.93843E-54,,,
,,,5.55074E-54,,,
,,,4.44059E-54,,,
,,,3.55248E-54,,,
,,,2.84198E-54,,,
,,,2.27358E-54,,,
,,,1.81887E-54,,,
,,,1.45509E-54,,,
,,,1.16408E-54,,,
,,,9.3126E-55,,,
,,,7.45008E-55,,,
,,,5.96006E-55,,,
,,,4.76805E-55,,,
,,,3.81444E-55,,,
,,,3.05155E-55,,,
,,,2.44124E-55,,,
,,,1.95299E-55,,,
,,,1.5624E-55,,,
,,,1.24992E-55,,,
,,,9.99933E-56,,,
,,,7.99946E-56,,,
,,,6.39957E-56,,,
,,,5.11966E-56,,,
,,,4.09573E-56,,,
,,,3.27658E-56,,,
,,,2.62126E-56,,,
,,,2.09701E-56,,,
,,,1.67761E-56,,,
,,,1.34209E-56,,,
,,,1.07367E-56,,,
,,,8.58936E-57,,,
,,,6.87149E-57,,,
,,,5.49719E-57,,,
,,,4.39775E-57,,,
,,,3.5182E-57,,,
,,,2.81456E-57,,,
,,,2.25165E-57,,,
,,,1.80132E-57,,,
,,,1.44106E-57,,,
,,,1.15284E-57,,,
,,,9.22275E-58,,,
,,,7.3782E-58,,,
,,,5.90256E-58,,,
,,,4.72205E-58,,,
,,,3.77764E-58,,,
,,,3.02211E-58,,,
,,,2.41769E-58,,,
,,,1.93415E-58,,,
,,,1.54732E-58,,,
,,,1.23786E-58,,,
,,,9.90286E-59,,,
,,,7.92228E-59,,,
,,,6.33783E-59,,,
,,,5.07026E-59,,,
,,,4.05621E-59,,,
,,,3.24497E-59,,,
,,,2.59597E-59,,,
,,,2.07678E-59,,,
,,,1.66142E-59,,,
,,,1.32914E-59,,,
,,,1.06331E-59,,,
,,,8.50649E-60,,,
,,,6.80519E-60,,,
,,,5.44415E-60,,,
,,,4.35532E-60,,,
,,,3.48426E-60,,,
,,,2.78741E-60,,,
,,,2.22992E-60,,,
,,,1.78394E-60,,,
,,,1.42715E-60,,,
,,,1.14172E-60,,,
,,,9.13377E-61,,,
,,,7.30702E-61,,,
,,,5.84561E-61,,,
,,,4.67649E-61,,,
,,,3.74119E-61,,,
,,,2.99295E-61,,,
,,,2.39436E-61,,,
,,,1.91549E-61,,,
,,,1.53239E-61,,,
,,,1.22591E-61,,,
,,,9.80731E-62,,,
,,,7.84585E-62,,,
,,,6.27668E-62,,,
,,,5.02134E-62,,,
,,,4.01708E-62,,,
,,,3.21366E-62,,,
,,,2.57093E-62,,,
,,,2.05674E-62,,,
,,,1.64539E-62,,,
,,,1.31632E-62,,,
,,,1.05305E-62,,,
,,,8.42442E-63,,,
,,,6.73953E-63,,,
,,,5.39163E-63,,,
,,,4.3133E-63,,,
,,,3.45064E-63,,,
,,,2.76051E-63,,,
,,,2.20841E-63,,,
,,,1.76673E-63,,,
,,,1.41338E-63,,,
,,,1.13071E-63,,,
,,,9.04565E-64,,,
,,,7.23652E-64,,,
,,,5.78922E-64,,,
,,,4.63137E-64,,,
,,,3.7051E-64,,,
,,,2.96408E-64,,,
,,,2.37126E-64,,,
,,,1.89701E-64,,,
,,,1.51761E-64,,,
,,,1.21409E-64,,,
,,,9.71269E-65,,,
,,,7.77015E-65,,,
,,,6.21612E-65,,,
,,,4.9729E-65,,,
,,,3.97832E-65,,,
,,,3.18266E-65,,,
,,,2.54612E-65,,,
,,,2.0369E-65,,,
,,,1.62952E-65,,,
,,,1.30362E-65,,,
,,,1.04289E-65,,,
,,,8.34314E-66,,,
,,,6.67451E-66,,,
,,,5.33961E-66,,,
,,,4.27169E-66,,,
,,,3.41735E-66,,,
,,,2.73388E-66,,,
,,,2.1871E-66,,,
,,,1.74968E-66,,,
